Team_A Name,Team_B Name,Team_A Score,Team_B Score
U.P. Yoddha,Bengal Warriors,32,29
Bengaluru Bulls,Tamil Thalaivas,33,27
Puneri Paltan,Haryana Steelers,27,41
Telugu Titans,Tamil Thalaivas,35,30
Jaipur Pink Panthers,Dabang Delhi K.C.,44,46
Bengaluru Bulls,Patna Pirates,40,39
Puneri Paltan,U Mumba,33,33
Patna Pirates,U.P. Yoddha,29,41
Bengaluru Bulls,Telugu Titans,40,39
Bengal Warriors,Gujarat Fortunegiants,25,25
Dabang Delhi K.C.,Haryana Steelers,25,47
Dabang Delhi K.C.,Tamil Thalaivas,50,34
Bengal Warriors,Puneri Paltan,42,39
U.P. Yoddha,Gujarat Fortunegiants,33,26
Tamil Thalaivas,Patna Pirates,25,51
Haryana Steelers,Jaipur Pink Panthers,32,32
Bengal Warriors,U Mumba,29,26
Jaipur Pink Panthers,Patna Pirates,33,36
Telugu Titans,U Mumba,27,41
Bengal Warriors,Bengaluru Bulls,42,40
Puneri Paltan,Gujarat Fortunegiants,43,33
Tamil Thalaivas,Haryana Steelers,35,43
Dabang Delhi K.C.,Gujarat Fortunegiants,34,30
Puneri Paltan,Patna Pirates,33,55
Jaipur Pink Panthers,U.P. Yoddha,32,38
Telugu Titans,Dabang Delhi K.C.,29,37
U Mumba,U.P. Yoddha,39,36
Puneri Paltan,Tamil Thalaivas,36,36
Bengal Warriors,Haryana Steelers,48,36
Telugu Titans,Patna Pirates,42,42
Puneri Paltan,Bengaluru Bulls,42,38
Jaipur Pink Panthers,Gujarat Fortunegiants,28,28
U.P. Yoddha,Tamil Thalaivas,42,22
U Mumba,Gujarat Fortunegiants,31,25
Jaipur Pink Panthers,Bengal Warriors,40,41
Patna Pirates,Haryana Steelers,34,39
Dabang Delhi K.C.,Bengaluru Bulls,39,39
Telugu Titans,Bengal Warriors,39,40
Jaipur Pink Panthers,Puneri Paltan,43,34
Patna Pirates,Dabang Delhi K.C.,39,43
U Mumba,Bengaluru Bulls,33,35
Jaipur Pink Panthers,Telugu Titans,31,51
Haryana Steelers,U.P. Yoddha,30,37
Gujarat Fortunegiants,Tamil Thalaivas,50,21
